ID;block_pos_1;block_pos_2;block_pos_3;block_pos_4;block_pos_5;block_pos_6;block_pos_7;block_pos_8;block_pos_9;block_pos_10;button_response_order;block_types;thr1F_response_button
1;RhyF;RanS;RhyS;RanS;RhyF;RhyS;RhyS;RanS;RhyS;RanS;NYYN;NM;NY
2;RanS;RhyS;RanS;RhyS;RhyF;RanS;RhyS;RanS;RhyS;RhyF;YNYN;NM;YN
3;RhyS;RanS;RanS;RhyF;RhyS;RhyF;RanS;RanS;RhyS;RhyS;YNNY;NM;YN
4;RhyS;RhyS;RanS;RhyF;RanS;RanS;RhyS;RhyS;RhyF;RanS;YNYN;MN;YN
5;RhyS;RhyS;RanS;RhyF;RanS;RhyS;RanS;RhyS;RanS;RhyF;NYNY;NM;NY
6;RhyS;RhyS;RanS;RhyF;RanS;RhyS;RhyF;RanS;RhyS;RanS;NYYN;NM;NY
7;RanS;RhyF;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RanS;RhyS;NYNY;MN;NY
8;RhyS;RanS;RhyS;RhyF;RanS;RhyF;RhyS;RanS;RhyS;RanS;YNNY;MN;YN
9;RhyS;RanS;RanS;RhyS;RanS;RhyF;RhyF;RanS;RhyS;RhyS;YNNY;NM;YN
10;RhyS;RanS;RhyS;RhyF;RanS;RanS;RhyS;RanS;RhyF;RhyS;NYYN;MN;NY
11;RanS;RhyF;RhyS;RhyF;RhyS;RhyS;RanS;RhyS;RanS;RanS;NYNY;MN;NY
12;RhyS;RanS;RhyF;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RanS;NYYN;NM;NY
13;RhyF;RanS;RhyS;RhyS;RhyF;RhyS;RanS;RanS;RhyS;RanS;YNNY;NM;YN
14;RanS;RanS;RhyS;RhyS;RhyF;RhyS;RhyF;RanS;RhyS;RanS;YNNY;NM;YN
15;RanS;RhyS;RhyS;RanS;RhyF;RhyF;RanS;RanS;RhyS;RhyS;NYNY;NM;NY
16;RhyS;RanS;RhyF;RhyF;RhyS;RanS;RhyS;RanS;RanS;RhyS;NYYN;MN;NY
17;RhyS;RhyS;RhyF;RanS;RanS;RhyS;RhyF;RanS;RanS;RhyS;YNYN;NM;YN
18;RhyS;RhyS;RanS;RhyS;RanS;RhyF;RanS;RhyF;RhyS;RanS;YNNY;NM;YN
19;RanS;RanS;RhyF;RanS;RhyS;RhyS;RhyF;RhyS;RhyS;RanS;YNYN;MN;YN
20;RhyS;RhyF;RanS;RhyS;RhyS;RhyF;RanS;RanS;RhyS;RanS;YNYN;MN;YN
21;RhyS;RhyF;RhyF;RhyS;RanS;RanS;RhyS;RanS;RhyS;RanS;YNNY;MN;YN
22;RhyF;RhyS;RhyF;RanS;RhyS;RanS;RanS;RhyS;RhyS;RanS;YNYN;NM;YN
